Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-05-05 00:00:00+05:30,34.45,34.69,33.97,34.03,1914119,False,0,,False
2008-05-06 00:00:00+05:30,34.1,34.1,33.2,33.52,526689,False,0,,False
2008-05-07 00:00:00+05:30,33.5,33.79,33.13,33.35,827229,False,0,,False
2008-05-08 00:00:00+05:30,33.5,35.28,32.75,34.88,3834779,False,0,,False
2008-05-09 00:00:00+05:30,35.0,36.0,33.11,33.66,5097159,False,0,,False
2008-05-12 00:00:00+05:30,27.0,34.36,27.0,34.05,1646949,False,0,,False
2008-05-13 00:00:00+05:30,34.48,35.15,33.26,33.47,1477549,False,0,,False
2008-05-14 00:00:00+05:30,33.87,34.2,33.5,33.96,586289,False,0,,False
2008-05-15 00:00:00+05:30,34.38,35.0,33.8,34.45,994829,False,0,,False
2008-05-16 00:00:00+05:30,34.1,35.55,34.03,34.72,1877659,False,0,,False
2008-05-20 00:00:00+05:30,34.89,35.09,34.14,34.66,844819,False,0,,False
2008-05-21 00:00:00+05:30,33.71,34.6,33.71,34.07,662379,False,0,,False
2008-05-22 00:00:00+05:30,34.2,34.2,32.5,32.97,1063109,False,0,,False
2008-05-23 00:00:00+05:30,32.6,33.59,32.0,32.1,1166579,False,0,,False
2008-05-26 00:00:00+05:30,32.13,32.13,30.6,30.81,889959,False,0,,False
2008-05-27 00:00:00+05:30,31.3,31.5,29.16,29.42,1241149,False,0,,False
2008-05-28 00:00:00+05:30,29.35,30.2,29.12,30.06,1557629,False,0,,False
2008-05-29 00:00:00+05:30,30.5,30.87,28.48,28.75,2404939,False,0,,False
2008-05-30 00:00:00+05:30,29.3,30.74,29.0,30.32,2912109,False,0,,False
2008-06-02 00:00:00+05:30,30.4,31.2,29.0,29.38,1980439,False,0,,False
2008-06-03 00:00:00+05:30,28.8,29.24,28.21,28.9,1420669,False,0,,False
2008-06-04 00:00:00+05:30,28.6,29.77,27.52,27.91,2062259,False,0,,False
2008-06-05 00:00:00+05:30,27.61,28.89,27.35,28.67,1412909,False,0,,False
2008-06-06 00:00:00+05:30,29.1,29.2,28.12,28.23,454739,False,0,,False
2008-06-09 00:00:00+05:30,27.5,27.6,26.06,27.17,724999,False,0,,False
2008-06-10 00:00:00+05:30,26.7,28.73,26.7,28.09,1222459,False,0,,False
2008-06-11 00:00:00+05:30,28.5,30.7,28.5,30.1,3135089,False,0,,False
2008-06-12 00:00:00+05:30,29.5,31.69,29.22,31.41,5472339,False,0,,False
2008-06-13 00:00:00+05:30,31.59,33.94,31.2,32.99,5431599,False,0,,False
2008-06-16 00:00:00+05:30,33.52,34.8,32.9,33.08,3905909,False,0,,False
2008-06-17 00:00:00+05:30,33.25,35.05,33.15,34.78,5239589,False,0,,False
2008-06-18 00:00:00+05:30,34.99,35.8,32.55,33.03,7513529,False,0,,False
2008-06-19 00:00:00+05:30,32.51,33.1,31.32,32.75,3302629,False,0,,False
2008-06-20 00:00:00+05:30,32.5,33.25,30.52,30.82,2084299,False,0,,False
2008-06-23 00:00:00+05:30,30.55,30.79,29.0,29.35,1735619,False,0,,False
2008-06-24 00:00:00+05:30,29.36,30.25,28.73,29.44,1732149,False,0,,False
2008-06-25 00:00:00+05:30,29.4,29.57,28.61,28.82,1136189,False,0,,False
2008-06-26 00:00:00+05:30,29.5,29.5,28.23,28.59,4494679,False,0,,False
2008-06-27 00:00:00+05:30,28.0,28.64,27.5,27.82,689049,False,0,,False
2008-06-30 00:00:00+05:30,28.48,28.48,26.8,27.16,901209,False,0,,False
2008-07-01 00:00:00+05:30,27.37,28.0,26.01,26.48,1262969,False,0,,False
2008-07-02 00:00:00+05:30,26.3,27.8,26.3,27.53,978459,False,0,,False
2008-07-03 00:00:00+05:30,27.53,28.6,26.61,27.09,1686649,False,0,,False
2008-07-04 00:00:00+05:30,27.0,29.2,26.9,29.02,2351159,False,0,,False
2008-07-07 00:00:00+05:30,29.48,29.8,28.8,28.92,418559,False,0,,False
2008-07-08 00:00:00+05:30,28.5,30.1,28.01,29.77,1069139,False,0,,False
2008-07-09 00:00:00+05:30,31.0,31.0,30.1,30.27,630739,False,0,,False
2008-07-10 00:00:00+05:30,30.4,30.48,29.5,29.63,369199,False,0,,False
2008-07-11 00:00:00+05:30,29.51,30.1,28.62,28.73,314729,False,0,,False
2008-07-14 00:00:00+05:30,28.6,29.0,28.04,28.6,195499,False,0,,False
2008-07-15 00:00:00+05:30,28.3,28.3,27.51,27.72,551429,False,0,,False
2008-07-16 00:00:00+05:30,27.31,28.49,27.31,27.62,373159,False,0,,False
2008-07-17 00:00:00+05:30,23.66,28.48,23.66,27.76,740699,False,0,,False
2008-07-18 00:00:00+05:30,28.49,28.49,26.92,27.54,764689,False,0,,False
2008-07-21 00:00:00+05:30,27.6,27.86,27.02,27.48,470629,False,0,,False
2008-07-22 00:00:00+05:30,27.21,28.45,27.21,27.71,3148649,False,0,,False
2008-07-23 00:00:00+05:30,28.0,28.87,28.0,28.25,2619339,False,0,,False
2008-07-24 00:00:00+05:30,28.7,28.9,27.85,27.98,1363219,False,0,,False
2008-07-25 00:00:00+05:30,27.78,28.13,27.2,27.4,392849,False,0,,False
2008-07-28 00:00:00+05:30,27.0,27.98,27.0,27.67,616559,False,0,,False
2008-07-29 00:00:00+05:30,27.7,27.8,27.35,27.63,300599,False,0,,False
2008-07-30 00:00:00+05:30,27.51,28.5,27.4,27.64,1144769,False,0,,False
2008-07-31 00:00:00+05:30,27.3,28.42,27.2,27.86,4397149,False,0,,False
2008-08-01 00:00:00+05:30,28.0,28.99,27.54,28.66,1156619,False,0,,False
2008-08-04 00:00:00+05:30,28.75,30.4,28.75,30.2,2284289,False,0,,False
2008-08-05 00:00:00+05:30,30.2,31.4,30.2,30.48,1411519,False,0,,False
2008-08-06 00:00:00+05:30,30.82,31.4,29.8,30.0,774669,False,0,,False
2008-08-07 00:00:00+05:30,30.2,30.45,29.98,30.07,400059,False,0,,False
2008-08-08 00:00:00+05:30,30.07,30.39,29.52,30.01,539169,False,0,,False
2008-08-11 00:00:00+05:30,31.0,31.5,30.0,30.4,1710939,False,0,,False
2008-08-12 00:00:00+05:30,30.88,30.88,30.03,30.27,603989,False,0,,False
2008-08-13 00:00:00+05:30,30.0,30.7,29.66,30.54,452309,False,0,,False
2008-08-14 00:00:00+05:30,30.2,31.4,30.2,31.11,1145009,False,0,,False
2008-08-18 00:00:00+05:30,31.2,32.33,30.3,30.62,489759,False,0,,False
2008-08-19 00:00:00+05:30,30.95,30.95,30.03,30.54,204139,False,0,,False
2008-08-20 00:00:00+05:30,30.7,31.3,30.31,31.02,445679,False,0,,False
2008-08-21 00:00:00+05:30,30.8,31.19,30.5,30.54,187209,False,0,,False
2008-08-22 00:00:00+05:30,30.9,30.9,30.5,30.59,235119,False,0,30.383899999999997,True
2008-08-25 00:00:00+05:30,31.7,31.93,30.6,30.69,381419,False,0,30.3995,True
2008-08-26 00:00:00+05:30,30.51,30.8,30.5,30.61,397209,False,0,30.4081,True
2008-08-27 00:00:00+05:30,30.62,31.0,30.52,30.73,280249,False,0,30.4239,True
2008-08-28 00:00:00+05:30,30.51,32.0,30.23,30.73,2575249,False,0,30.444100000000002,True
2008-08-29 00:00:00+05:30,30.71,31.88,30.71,31.57,503049,False,0,30.4731,True
2008-09-01 00:00:00+05:30,31.1,32.5,31.1,32.21,541239,False,0,30.5048,True
2008-09-02 00:00:00+05:30,32.6,32.6,31.0,31.83,383559,False,0,30.5267,True
2008-09-04 00:00:00+05:30,31.52,32.81,31.5,32.13,888439,False,0,30.5398,True
2008-09-05 00:00:00+05:30,31.5,32.0,31.5,31.59,146769,False,0,30.552,True
2008-09-08 00:00:00+05:30,32.0,32.4,31.4,32.32,946069,False,0,30.571800000000003,True
2008-09-09 00:00:00+05:30,32.0,32.5,31.5,32.16,254279,False,0,30.5814,True
2008-09-10 00:00:00+05:30,32.0,32.19,31.65,31.74,107969,False,0,30.584899999999998,True
2008-09-11 00:00:00+05:30,31.8,31.8,31.0,31.27,159639,False,0,30.5848,True
2008-09-12 00:00:00+05:30,31.4,32.0,30.98,31.0,429359,False,0,30.569699999999997,True
2008-09-15 00:00:00+05:30,30.5,30.5,28.71,29.78,412149,False,0,30.5372,False
2008-09-16 00:00:00+05:30,29.5,31.24,28.44,30.83,583719,False,0,30.5125,True
2008-09-17 00:00:00+05:30,31.01,31.38,30.63,31.04,452519,False,0,30.493499999999997,True
2008-09-18 00:00:00+05:30,30.0,30.2,28.6,30.01,307869,False,0,30.468600000000002,False
2008-09-19 00:00:00+05:30,30.1,31.4,30.1,31.01,416489,False,0,30.4547,True
2008-09-22 00:00:00+05:30,31.0,31.0,30.11,30.6,362639,False,0,30.4368,True
2008-09-23 00:00:00+05:30,30.15,31.43,29.11,29.34,244049,False,0,30.400499999999997,False
2008-09-24 00:00:00+05:30,29.8,29.8,29.07,29.62,531729,False,0,30.358999999999995,False
2008-09-25 00:00:00+05:30,29.62,29.62,27.85,28.41,1819789,False,0,30.3028,False
2008-09-26 00:00:00+05:30,28.5,28.9,28.4,28.7,844569,False,0,30.2546,False
2008-09-29 00:00:00+05:30,29.5,29.8,26.4,27.98,2398789,False,0,30.2009,False
2008-09-30 00:00:00+05:30,28.49,28.49,25.6,27.73,349279,False,0,30.1294,False
2008-10-01 00:00:00+05:30,28.1,28.2,27.4,27.71,301159,False,0,30.069900000000004,False
2008-10-03 00:00:00+05:30,27.79,28.4,26.72,26.96,781109,False,0,29.999000000000002,False
2008-10-06 00:00:00+05:30,25.82,27.8,25.82,27.08,1275129,False,0,29.9351,False
2008-10-07 00:00:00+05:30,27.0,27.7,26.35,27.08,605039,False,0,29.866300000000003,False
2008-10-08 00:00:00+05:30,26.9,26.9,18.8,21.13,3604999,True,1,29.7331,False
2008-10-10 00:00:00+05:30,20.47,25.2,18.01,19.52,2946149,True,1,29.581100000000003,False
2008-10-13 00:00:00+05:30,21.0,21.0,19.15,19.62,494219,True,1,29.430699999999998,False
2008-10-14 00:00:00+05:30,20.5,20.78,19.55,19.61,712029,True,1,29.2861,False
2008-10-15 00:00:00+05:30,19.47,20.0,18.76,19.11,1813759,True,1,29.1475,False
2008-10-16 00:00:00+05:30,18.51,19.3,17.6,18.57,1208189,True,1,29.012199999999996,False
2008-10-17 00:00:00+05:30,19.3,19.3,17.61,17.91,513589,True,1,28.883200000000002,False
2008-10-20 00:00:00+05:30,17.7,18.9,17.7,18.12,541829,True,1,28.7702,False
2008-10-21 00:00:00+05:30,18.27,20.3,18.02,18.91,362239,True,1,28.6587,False
2008-10-22 00:00:00+05:30,18.99,19.25,18.22,18.63,219709,True,1,28.5575,False
2008-10-23 00:00:00+05:30,18.3,18.45,17.3,17.6,535289,True,1,28.4303,False
2008-10-24 00:00:00+05:30,17.5,17.5,15.5,16.69,1502659,True,1,28.3034,False
2008-10-27 00:00:00+05:30,15.19,16.6,12.9,15.12,1374519,True,2,28.165599999999998,False
2008-10-28 00:00:00+05:30,15.21,16.25,15.11,16.09,163909,True,2,28.047400000000003,False
2008-10-29 00:00:00+05:30,16.9,17.15,12.56,13.34,3318879,True,3,27.8941,False
2008-10-31 00:00:00+05:30,13.8,14.1,12.5,12.57,3618789,True,3,27.7375,False
2008-11-03 00:00:00+05:30,13.0,13.78,12.7,13.09,3839299,True,3,27.596700000000002,False
2008-11-04 00:00:00+05:30,12.9,13.55,12.43,13.32,3371019,True,3,27.449,False
2008-11-05 00:00:00+05:30,13.85,13.85,11.99,12.2,6010059,True,3,27.27,False
2008-11-06 00:00:00+05:30,12.1,12.1,10.13,10.64,9001119,True,3,27.0623,False
2008-11-07 00:00:00+05:30,10.74,11.52,10.72,11.33,2378009,True,3,26.845699999999997,False
2008-11-10 00:00:00+05:30,11.58,13.74,11.58,13.54,6810799,True,4,26.6503,False
2008-11-11 00:00:00+05:30,13.7,14.24,13.02,13.71,5645739,True,4,26.439599999999995,False
2008-11-12 00:00:00+05:30,13.4,13.75,12.61,12.82,1983969,True,4,26.2375,False
2008-11-14 00:00:00+05:30,13.39,13.45,12.66,12.83,2199259,True,4,26.0383,False
2008-11-17 00:00:00+05:30,12.76,13.02,12.3,12.6,977879,True,4,25.856099999999998,False
2008-11-18 00:00:00+05:30,12.5,12.7,12.09,12.18,843649,True,4,25.6844,False
2008-11-19 00:00:00+05:30,12.18,12.47,11.61,11.75,515319,True,4,25.5075,False
2008-11-20 00:00:00+05:30,11.15,12.15,11.1,11.78,791079,True,4,25.3371,False
2008-11-21 00:00:00+05:30,12.1,12.2,11.6,11.75,921589,True,4,25.168699999999998,False
2008-11-24 00:00:00+05:30,11.78,11.99,11.44,11.47,547009,True,4,25.0052,False
2008-11-25 00:00:00+05:30,11.9,11.98,11.21,11.37,1149179,True,4,24.8473,False
2008-11-26 00:00:00+05:30,11.25,11.5,10.98,11.22,3783169,True,4,24.6947,False
2008-11-28 00:00:00+05:30,13.0,13.0,10.85,11.07,2138669,True,4,24.530099999999997,False
2008-12-01 00:00:00+05:30,11.15,11.43,11.11,11.21,976699,True,4,24.3713,False
2008-12-02 00:00:00+05:30,10.8,11.54,10.8,11.44,553049,True,4,24.195500000000003,False
2008-12-03 00:00:00+05:30,11.59,11.59,10.72,11.1,2555409,True,4,24.0173,False
2008-12-04 00:00:00+05:30,11.23,11.43,10.4,10.76,6592279,True,4,23.8272,False
2008-12-05 00:00:00+05:30,10.84,12.3,10.81,11.61,2602559,True,4,23.6406,False
2008-12-08 00:00:00+05:30,12.29,12.29,11.51,11.75,1713099,True,4,23.461799999999997,False
2008-12-10 00:00:00+05:30,11.9,14.95,11.61,13.02,3665529,True,5,23.304699999999997,False
2008-12-11 00:00:00+05:30,13.54,14.5,13.4,13.97,3094959,True,5,23.1584,False
2008-12-12 00:00:00+05:30,13.6,14.38,13.23,14.1,1820309,True,5,23.022199999999998,False
2008-12-15 00:00:00+05:30,13.8,15.19,13.8,14.62,2575439,True,5,22.8922,False
2008-12-16 00:00:00+05:30,14.6,15.4,14.25,14.49,1078459,True,5,22.759500000000003,False
2008-12-17 00:00:00+05:30,14.6,15.38,14.31,14.52,726539,True,5,22.629300000000004,False
2008-12-18 00:00:00+05:30,14.89,15.0,13.7,14.29,1004809,True,5,22.497400000000003,False
2008-12-19 00:00:00+05:30,14.2,14.7,14.06,14.45,658549,True,5,22.3648,False
2008-12-22 00:00:00+05:30,15.4,16.05,14.12,15.84,2267369,True,5,22.2407,False
2008-12-23 00:00:00+05:30,16.05,16.39,14.91,15.1,3159249,True,5,22.111900000000002,False
2008-12-24 00:00:00+05:30,14.56,15.84,14.56,15.55,2194739,True,5,21.9934,False
2008-12-26 00:00:00+05:30,15.7,16.0,14.92,15.19,745859,True,5,21.8686,False
2008-12-29 00:00:00+05:30,15.1,15.59,14.62,15.37,573149,True,5,21.746,False
2008-12-30 00:00:00+05:30,15.41,16.49,15.4,16.2,999559,True,5,21.6316,False
2008-12-31 00:00:00+05:30,16.25,17.23,16.1,16.84,1354559,True,5,21.5214,False
2009-01-01 00:00:00+05:30,17.1,17.39,16.55,16.74,931539,True,5,21.402199999999997,False
2009-01-02 00:00:00+05:30,17.0,17.59,16.75,17.21,874799,True,5,21.2723,False
2009-01-05 00:00:00+05:30,17.3,17.85,17.21,17.39,975839,True,5,21.141400000000004,False
2009-01-06 00:00:00+05:30,17.26,17.7,17.11,17.57,881449,True,5,21.0171,False
2009-01-07 00:00:00+05:30,17.6,18.25,15.22,15.68,1927089,True,5,20.8732,False
2009-01-09 00:00:00+05:30,14.91,15.9,14.9,15.56,768719,True,5,20.7287,False
2009-01-12 00:00:00+05:30,15.6,15.6,14.91,15.17,211749,True,5,20.5764,False
2009-01-13 00:00:00+05:30,15.17,15.6,13.74,14.27,250379,True,5,20.4164,False
2009-01-14 00:00:00+05:30,15.01,15.5,14.01,14.91,1161339,True,5,20.2601,False
2009-01-15 00:00:00+05:30,14.0,14.6,13.5,14.26,675819,True,5,20.0916,False
2009-01-16 00:00:00+05:30,14.7,14.99,13.6,14.26,1260779,True,5,19.928,False
2009-01-19 00:00:00+05:30,14.65,14.65,13.94,14.15,566819,True,5,19.7641,False
2009-01-20 00:00:00+05:30,13.8,14.16,13.8,14.02,679359,True,5,19.5941,False
2009-01-21 00:00:00+05:30,13.8,14.1,13.5,13.68,318309,True,5,19.4255,False
2009-01-22 00:00:00+05:30,14.0,14.3,13.6,14.0,1347979,True,5,19.2596,False
2009-01-23 00:00:00+05:30,13.05,14.32,13.05,13.57,807009,True,5,19.0884,False
2009-01-27 00:00:00+05:30,13.62,16.1,13.62,15.55,2658279,True,5,18.9378,False
2009-01-28 00:00:00+05:30,15.6,16.49,15.6,16.31,2293669,True,5,18.793599999999998,False
2009-01-29 00:00:00+05:30,16.5,17.25,16.41,17.07,3943719,True,5,18.656999999999996,False
2009-01-30 00:00:00+05:30,17.5,17.5,14.61,16.04,3674559,True,5,18.5017,False
2009-02-02 00:00:00+05:30,15.8,16.39,14.73,14.97,2972019,True,5,18.3293,False
2009-02-03 00:00:00+05:30,15.0,15.4,13.9,14.38,1258649,True,5,18.1548,False
2009-02-04 00:00:00+05:30,14.6,14.79,14.1,14.25,838789,True,5,17.976,False
2009-02-05 00:00:00+05:30,14.13,14.3,12.72,13.03,3225729,True,5,17.790399999999998,False
2009-02-06 00:00:00+05:30,13.4,13.4,12.63,12.76,1911789,True,5,17.5948,False
2009-02-09 00:00:00+05:30,13.19,14.98,12.88,14.23,3819139,True,5,17.415499999999998,False
2009-02-10 00:00:00+05:30,14.2,14.7,14.2,14.5,1404369,True,5,17.2431,False
2009-02-11 00:00:00+05:30,14.4,14.4,14.0,14.09,5760419,True,5,17.071299999999997,False
2009-02-12 00:00:00+05:30,14.18,14.81,14.0,14.18,5358459,True,5,16.9031,False
2009-02-13 00:00:00+05:30,14.3,14.7,14.1,14.21,841399,True,5,16.7474,False
2009-02-16 00:00:00+05:30,14.4,14.5,13.65,14.2,961579,True,5,16.581100000000003,False
2009-02-17 00:00:00+05:30,13.77,14.15,13.76,14.04,677339,True,5,16.4111,False
2009-02-18 00:00:00+05:30,14.04,14.59,13.7,14.45,734639,True,5,16.255499999999998,False
2009-02-19 00:00:00+05:30,14.27,15.29,14.27,14.96,1539739,True,5,16.095,False
2009-02-20 00:00:00+05:30,14.9,14.98,14.27,14.44,1297669,True,4,15.933399999999999,False
2009-02-24 00:00:00+05:30,14.05,15.23,14.05,15.14,1667909,True,4,15.791400000000001,False
2009-02-25 00:00:00+05:30,15.3,15.69,14.61,14.9,1196979,True,4,15.644200000000001,False
2009-02-26 00:00:00+05:30,14.8,15.3,14.65,15.14,975449,True,4,15.511500000000002,False
2009-02-27 00:00:00+05:30,15.1,15.14,14.72,14.98,315989,True,4,15.3743,False
2009-03-02 00:00:00+05:30,14.95,15.49,14.65,14.73,451089,True,4,15.241800000000001,False
2009-03-03 00:00:00+05:30,14.65,16.34,14.17,15.64,5302969,True,4,15.120899999999999,True
2009-03-04 00:00:00+05:30,15.98,16.47,15.52,16.04,6078269,True,4,15.0042,True
2009-03-05 00:00:00+05:30,16.1,16.34,15.7,15.92,2593119,True,4,14.893799999999999,True
2009-03-06 00:00:00+05:30,15.7,15.9,15.32,15.66,829549,True,4,14.7796,True
2009-03-09 00:00:00+05:30,15.9,16.04,15.4,15.87,846779,True,4,14.6675,True
2009-03-12 00:00:00+05:30,16.0,16.34,15.68,15.8,2228159,True,4,14.6142,True
2009-03-13 00:00:00+05:30,16.35,16.49,15.2,15.9,2135459,True,3,14.578,True
2009-03-16 00:00:00+05:30,15.9,16.4,15.71,16.29,615589,True,3,14.544699999999999,True
2009-03-17 00:00:00+05:30,16.15,16.2,15.8,15.91,553389,True,2,14.5077,True
2009-03-18 00:00:00+05:30,16.19,16.95,15.9,16.53,3158139,True,2,14.481900000000001,True
2009-03-19 00:00:00+05:30,16.6,17.33,16.55,16.81,2347729,True,2,14.464299999999998,True
2009-03-20 00:00:00+05:30,17.0,17.35,16.65,17.06,453119,True,2,14.455800000000002,True
2009-03-23 00:00:00+05:30,17.5,17.8,16.9,17.04,679009,True,2,14.445,True
2009-03-24 00:00:00+05:30,17.38,17.38,16.9,17.08,410509,True,2,14.4267,True
2009-03-25 00:00:00+05:30,17.17,17.3,16.91,17.07,315629,True,2,14.4111,True
2009-03-26 00:00:00+05:30,17.2,17.49,16.72,16.99,982119,True,1,14.405,True
2009-03-27 00:00:00+05:30,16.92,17.86,16.92,17.44,607069,True,1,14.4125,True
2009-03-30 00:00:00+05:30,17.19,18.0,16.7,17.36,1178599,True,1,14.4349,True
2009-03-31 00:00:00+05:30,17.4,19.29,17.2,18.82,1738879,True,1,14.462200000000001,True
2009-04-01 00:00:00+05:30,18.98,19.1,18.23,18.46,879529,True,1,14.5134,True
2009-04-02 00:00:00+05:30,18.7,19.7,18.6,18.96,840629,True,1,14.577300000000001,True
2009-04-06 00:00:00+05:30,19.1,19.78,18.76,19.0,857849,True,1,14.636400000000002,True
2009-04-08 00:00:00+05:30,18.46,19.94,17.56,19.72,1004239,True,1,14.7004,True
2009-04-09 00:00:00+05:30,19.81,20.39,19.2,19.41,455999,True,1,14.7725,True
2009-04-13 00:00:00+05:30,19.15,20.47,19.15,20.34,640489,True,1,14.869499999999999,True
2009-04-15 00:00:00+05:30,20.2,22.5,19.7,22.08,2760159,True,1,14.977,True
2009-04-16 00:00:00+05:30,22.02,25.62,22.02,23.02,5355329,True,1,15.071800000000001,True
2009-04-17 00:00:00+05:30,23.25,24.15,22.28,22.88,2811699,True,1,15.163499999999999,True
2009-04-20 00:00:00+05:30,23.4,23.4,22.42,22.66,907699,True,1,15.2619,True
2009-04-21 00:00:00+05:30,22.5,23.1,21.62,22.71,581719,True,1,15.3607,True
2009-04-22 00:00:00+05:30,23.2,23.5,21.2,21.39,995669,True,1,15.448599999999999,True
2009-04-23 00:00:00+05:30,21.5,22.37,20.51,22.17,936199,True,1,15.548499999999999,True
2009-04-24 00:00:00+05:30,22.5,23.19,20.7,22.38,2305249,True,1,15.6548,True
2009-04-27 00:00:00+05:30,22.38,22.97,21.81,22.32,1058009,True,1,15.7602,True
2009-04-28 00:00:00+05:30,22.6,22.6,21.5,21.91,629139,False,0,15.861799999999999,True
2009-04-29 00:00:00+05:30,22.5,22.8,21.06,21.8,2196089,False,0,15.9651,True
2009-05-04 00:00:00+05:30,22.89,25.47,22.51,24.08,3656379,False,0,16.092200000000002,True
2009-05-05 00:00:00+05:30,23.9,26.5,23.55,26.13,4134329,False,0,16.241300000000003,True
2009-05-06 00:00:00+05:30,26.33,27.56,25.83,26.95,1886479,False,0,16.4001,True
2009-05-07 00:00:00+05:30,26.75,28.15,26.6,27.59,1337839,False,0,16.5639,True
2009-05-08 00:00:00+05:30,27.3,28.3,26.5,28.1,1846779,False,0,16.7305,True
2009-05-11 00:00:00+05:30,28.3,30.07,27.5,29.73,2548249,False,0,16.916800000000002,True
2009-05-12 00:00:00+05:30,29.8,30.7,28.66,29.21,3894969,False,0,17.101300000000002,True
2009-05-13 00:00:00+05:30,29.22,30.0,28.4,28.82,1479019,False,0,17.2734,True
2009-05-14 00:00:00+05:30,28.6,29.86,27.6,29.35,1540139,False,0,17.4494,True
2009-05-15 00:00:00+05:30,29.0,30.28,29.0,29.7,1720129,False,0,17.6162,True
2009-05-18 00:00:00+05:30,32.56,32.56,32.56,32.56,699,False,0,17.8021,True
2009-05-19 00:00:00+05:30,32.5,33.5,27.0,32.32,3179599,False,0,17.9843,True
2009-05-20 00:00:00+05:30,32.5,33.5,32.0,32.67,679289,False,0,18.1648,True
2009-05-21 00:00:00+05:30,32.71,34.86,32.71,34.47,6213509,False,0,18.3646,True
2009-05-22 00:00:00+05:30,34.51,35.6,32.53,34.04,2399579,False,0,18.5598,True
2009-05-25 00:00:00+05:30,33.71,37.1,33.71,36.58,5122719,False,0,18.7827,True
2009-05-26 00:00:00+05:30,37.21,37.99,35.31,35.91,4363749,False,0,18.9973,True
2009-05-27 00:00:00+05:30,36.5,38.6,36.2,38.43,3536359,False,0,19.2232,True
2009-05-28 00:00:00+05:30,38.89,39.44,36.66,36.98,1841889,False,0,19.442,True
2009-05-29 00:00:00+05:30,37.3,39.29,37.3,38.8,2036399,False,0,19.6745,True
2009-06-01 00:00:00+05:30,39.99,40.1,38.2,39.36,1790669,False,0,19.9162,True
2009-06-02 00:00:00+05:30,39.71,39.91,37.4,38.45,863879,False,0,20.147000000000002,True
2009-06-03 00:00:00+05:30,38.2,39.79,38.2,39.42,2674859,False,0,20.379199999999997,True
2009-06-04 00:00:00+05:30,39.64,42.25,38.7,41.45,2957189,False,0,20.625300000000003,True
2009-06-05 00:00:00+05:30,42.12,44.0,42.12,43.12,2262739,False,0,20.8891,True
2009-06-08 00:00:00+05:30,43.1,43.61,40.13,41.06,2548119,False,0,21.127599999999997,True
2009-06-09 00:00:00+05:30,40.3,42.64,38.63,42.27,1969279,False,0,21.3764,True
2009-06-10 00:00:00+05:30,42.6,47.8,42.0,45.96,3917269,False,0,21.660299999999996,True
2009-06-11 00:00:00+05:30,46.3,50.4,45.2,48.09,3291339,False,0,21.9844,True
2009-06-12 00:00:00+05:30,48.7,48.8,47.01,47.94,2379369,False,0,22.308200000000003,True
2009-06-15 00:00:00+05:30,46.0,49.74,45.7,48.76,935689,False,0,22.644099999999998,True
2009-06-16 00:00:00+05:30,47.5,48.77,46.41,48.02,1167279,False,0,22.9816,True
2009-06-17 00:00:00+05:30,47.5,48.69,45.13,45.79,1418359,False,0,23.290400000000005,True
2009-06-18 00:00:00+05:30,45.79,47.05,45.1,46.12,1432129,False,0,23.609,True
2009-06-19 00:00:00+05:30,45.2,47.21,44.01,44.75,673069,False,0,23.913899999999998,True
